date,oil_price,oil_mom_pct,oil_yoy_pct
2000-01-01,27.64,,
2000-02-01,30.43,10.09406657018812,
2000-03-01,26.9,-11.600394347683206,
2000-04-01,25.74,-4.312267657992564,
2000-05-01,29.01,12.703962703962723,
2000-06-01,32.5,12.030334367459483,
2000-07-01,27.43,-15.600000000000003,
2000-08-01,33.12,20.743711265038268,
2000-09-01,30.84,-6.8840579710144905,
2000-10-01,32.7,6.0311284046692615,
2000-11-01,33.82,3.4250764525993738,
2000-12-01,26.8,-20.756948551153165,
2001-01-01,28.66,6.940298507462694,3.69030390738061
2001-02-01,27.39,-4.431263084438242,-9.990141307919808
2001-03-01,26.29,-4.016064257028118,-2.267657992565053
2001-04-01,28.46,8.254089007227083,10.567210567210573
2001-05-01,28.37,-0.3162333099086423,-2.206135815236132
2001-06-01,26.25,-7.472682410997534,-19.23076923076923
2001-07-01,26.35,0.3809523809523929,-3.9372949325555906
2001-08-01,27.2,3.2258064516129004,-17.87439613526569
2001-09-01,23.43,-13.860294117647054,-24.027237354085607
2001-10-01,21.18,-9.603072983354677,-35.22935779816514
2001-11-01,19.44,-8.215297450424918,-42.51921939680662
2001-12-01,19.84,2.0576131687242816,-25.970149253731346
2002-01-01,19.48,-1.814516129032251,-32.03070481507327
2002-02-01,21.74,11.601642710472259,-20.627966411098953
2002-03-01,26.31,21.02115915363385,0.07607455306199995
2002-04-01,27.29,3.72481946028127,-4.111033028812372
2002-05-01,25.31,-7.255404910223529,-10.786041593232298
2002-06-01,26.86,6.124061635717104,2.323809523809528
2002-07-01,27.02,0.5956813104988745,2.542694497153697
2002-08-01,28.98,7.253886010362698,6.5441176470588225
2002-09-01,30.45,5.072463768115942,29.961587708066585
2002-10-01,27.22,-10.607553366174061,28.51746931067043
2002-11-01,26.89,-1.2123438648052876,38.32304526748971
2002-12-01,31.2,16.028263294905166,57.258064516129025
2003-01-01,33.51,7.40384615384615,72.02258726899382
2003-02-01,36.6,9.221128021486136,68.35326586936526
2003-03-01,31.04,-15.191256830601096,17.977955150133027
2003-04-01,25.8,-16.881443298969067,-5.459875412238913
2003-05-01,29.56,14.5736434108527,16.791781904385616
2003-06-01,30.19,2.1312584573748294,12.39761727475801
2003-07-01,30.54,1.1593242795627567,13.027387120651369
2003-08-01,31.57,3.3726260641781414,8.937198067632846
2003-09-01,29.2,-7.507127019322146,-4.105090311986858
2003-10-01,29.11,-0.3082191780821919,6.943423952975758
2003-11-01,30.41,4.4658193060803875,13.090368166604694
2003-12-01,32.52,6.938507070042754,4.230769230769238
2004-01-01,33.05,1.62976629766296,-1.372724559832883
2004-02-01,36.16,9.409984871406962,-1.2021857923497414
2004-03-01,35.76,-1.106194690265483,15.2061855670103
2004-04-01,37.38,4.530201342281903,44.88372093023256
2004-05-01,39.88,6.688068485821286,34.91204330175914
2004-06-01,37.05,-7.096288866599809,22.722755879430267
2004-07-01,43.8,18.218623481781382,43.418467583497055
2004-08-01,42.12,-3.8356164383561597,33.41780171048463
2004-09-01,49.64,17.85375118708452,70.0
2004-10-01,51.76,4.270749395648665,77.80831329440055
2004-11-01,49.13,-5.081143740340021,61.55869779677738
2004-12-01,43.45,-11.561164258090784,33.610086100861004
2005-01-01,48.2,10.932105868814723,45.839636913767045
2005-02-01,51.75,7.365145228215764,43.11393805309736
2005-03-01,55.4,7.053140096618349,54.92170022371366
2005-04-01,49.72,-10.252707581227439,33.012306046013904
2005-05-01,51.97,4.525341914722447,30.315947843530576
2005-06-01,56.5,8.716567250336738,52.49662618083673
2005-07-01,60.57,7.203539823008853,38.28767123287673
2005-08-01,68.94,13.8187221396731,63.67521367521367
2005-09-01,66.24,-3.9164490861618884,33.44077356970183
2005-10-01,59.76,-9.782608695652172,15.455950540958273
2005-11-01,57.32,-4.08299866131191,16.670059027071037
2005-12-01,61.04,6.489881367759942,40.483314154200215
2006-01-01,67.92,11.271297509829626,40.91286307053941
2006-02-01,61.41,-9.58480565371026,18.666666666666654
2006-03-01,66.63,8.500244259892531,20.270758122743683
2006-04-01,71.88,7.87933363349842,44.56958970233307
2006-05-01,71.29,-0.8208124652198001,37.17529343852224
2006-06-01,73.93,3.7031841773039753,30.849557522123906
2006-07-01,74.4,0.6357365075071009,22.833085685983168
2006-08-01,70.26,-5.56451612903226,1.9147084421236027
2006-09-01,62.91,-10.461144321093096,-5.027173913043481
2006-10-01,58.73,-6.644412652996346,-1.7235609103078975
2006-11-01,63.13,7.491912140303092,10.136078157711093
2006-12-01,61.05,-3.294788531601467,0.01638269986894425
2007-01-01,58.14,-4.766584766584758,-14.399293286219084
2007-02-01,61.79,6.277949776401792,0.618791727731649
2007-03-01,65.87,6.603010195824566,-1.1406273450397575
2007-04-01,65.71,-0.24290268711099072,-8.583750695603786
2007-05-01,64.01,-2.587125247298716,-10.211810913171549
2007-06-01,70.68,10.420246836431811,-4.39605031786825
2007-07-01,78.21,10.65365025466891,5.120967741935467
2007-08-01,74.04,-5.331799002685067,5.380017079419308
2007-09-01,81.66,10.29173419773095,29.804482594182158
2007-10-01,94.53,15.760470242468783,60.95692150519327
2007-11-01,88.71,-6.15677562678516,40.519562806906364
2007-12-01,95.98,8.19524292638938,57.21539721539723
2008-01-01,91.75,-4.407168160033348,57.80873753009976
2008-02-01,101.84,10.997275204359669,64.81631331930733
2008-03-01,101.58,-0.25530243519246154,54.212843479580975
