country,category,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,beta_10,beta_11,beta_12
Africa,"Alcoholic beverages, tobacco and narcotics",0.0024365095623591192,-0.009703975634004963,-0.00044399028960980316,-0.009489144919890084,0.007737425682014104,0.002914495777909801,-0.010936944419524206,-0.005457699271956319,0.004904054887955651,-0.0014940119283729418,0.005486421576244988,-0.007136577058469104
Africa,All Items,0.005129313657200055,0.0030557993650280613,0.0038094062454189777,0.0016457871920321178,0.0030275330653277625,0.005064441526890501,-0.0035293308926777,0.004377651453956091,0.0034797620330577496,0.001948247584949825,0.002687281266553038,-0.000826391391121483
Africa,Clothing and footwear,-0.0026083329414306024,0.007867459357694173,-0.006279477625103106,0.0019674118420970168,0.0012504816301719213,0.003319763297811231,-0.004652595836579977,0.002612677054972868,0.0018086080707005485,-0.002001974334357574,0.0026029126563101076,-0.00404567420331692
Africa,Communication,-0.021702232036271557,0.017581323404101342,-0.00901393795201849,0.014141988458602742,-0.007649572742812662,-0.0011513609885817051,0.003500015053116072,0.011179757101462531,0.03276432282571224,0.0031079230940742174,0.017698479487859124,0.0004342045617328188
Africa,Education,-0.011747411798149547,0.012140452721824182,-0.015155101256113076,0.019601661131227827,-0.016130418995133285,-0.009353855769615024,0.01612063665410398,0.00011374181240501186,0.05615216025969412,-0.01628940203914131,0.0029809972349844277,0.019569002698693504
Africa,Food and non-alcoholic beverages,0.013766637695846275,-0.016752434681401092,0.003860254410095672,-0.01688066586356883,0.02398210344224902,0.0047334271947582236,0.006783348341649063,0.0013030071588438258,-0.007544172879059376,0.007070644643602356,-0.003837391274787459,-0.012319180797160835
Africa,"Furnishings, household equipment and routine household maintenance",0.005651147111355396,-0.004561137538986589,-0.0019168175770018282,0.006972983422023868,-0.005536279018981509,0.005115454378291013,-0.006036961972646809,0.005957135835796386,0.00775365260326737,-0.007114395273860935,-0.0005889398653013489,0.0016423342448140033
Africa,Health,-0.0034738467564864412,0.011634434937441838,-0.007373767548765025,-0.0024533660448976874,0.0007134011421682379,0.001239971974615406,0.0010380190117461343,0.007318068738786363,0.004459930967895735,-0.00527242516698535,0.00012173777814573775,0.0002842380616643282
Africa,"Housing, water, electricity, gas and other fuels",0.0013595542754378598,-0.0071401055393887376,0.006366330871107006,0.014585030043443217,-0.0003666667772162526,0.01047277484284257,0.0017268573227871451,0.01226840746366746,0.008826555639911894,0.00091982440471094,-0.0016860290456063793,0.0028333910655288313
Africa,Miscellaneous goods and services,-0.0028069613865685517,-0.002301243130877243,-0.0030312374942282425,-0.001855517000678914,0.003244786210768142,0.0038647865268314906,-0.0048443519785889635,0.007515733591276878,0.0051300020247890266,-0.0030923262282810055,0.004144636151130718,-0.00014399534626772723
