country,category,lag,beta,ci_low,ci_high,standard_error,p_value,cumulative_pass_through,peak_lag,peak_coefficient,model_type,group_name,n_obs,r_squared,adj_r_squared
Non Oil Producer,"Alcoholic beverages, tobacco and narcotics",1,-0.00021113873665196494,-0.016841100954018296,0.016418823480714367,0.00848483051144886,0.9801472812818882,-0.014827608350027152,12,-0.009338635435056097,oil_group_category,Non Oil Producer,300,0.013250843098482679,-0.03160139130613171
Non Oil Producer,"Alcoholic beverages, tobacco and narcotics",2,-0.004122827776370945,-0.01656728022988698,0.008321624677145093,0.006349327105842909,0.5161231439599221,-0.014827608350027152,12,-0.009338635435056097,oil_group_category,Non Oil Producer,300,0.013250843098482679,-0.03160139130613171
Non Oil Producer,"Alcoholic beverages, tobacco and narcotics",3,-0.0006768936275854073,-0.011156585777621233,0.00980279852245042,0.005346879959375939,0.8992601611933542,-0.014827608350027152,12,-0.009338635435056097,oil_group_category,Non Oil Producer,300,0.013250843098482679,-0.03160139130613171
Non Oil Producer,"Alcoholic beverages, tobacco and narcotics",4,-0.0032066030688567017,-0.01603821606545482,0.009625009927741417,0.0065468616249136444,0.6242808090806624,-0.014827608350027152,12,-0.009338635435056097,oil_group_category,Non Oil Producer,300,0.013250843098482679,-0.03160139130613171
Non Oil Producer,"Alcoholic beverages, tobacco and narcotics",5,-0.0014005978167706216,-0.012239864690631886,0.009438669057090643,0.005530339822241643,0.8000695460768649,-0.014827608350027152,12,-0.009338635435056097,oil_group_category,Non Oil Producer,300,0.013250843098482679,-0.03160139130613171
Non Oil Producer,"Alcoholic beverages, tobacco and narcotics",6,-0.002516720948211782,-0.011809454431253651,0.006776012534830088,0.004741277674662273,0.5955499606251294,-0.014827608350027152,12,-0.009338635435056097,oil_group_category,Non Oil Producer,300,0.013250843098482679,-0.03160139130613171
Non Oil Producer,"Alcoholic beverages, tobacco and narcotics",7,-0.0015897005298823345,-0.012296826988637061,0.009117425928872394,0.0054629200042506775,0.7710526062937176,-0.014827608350027152,12,-0.009338635435056097,oil_group_category,Non Oil Producer,300,0.013250843098482679,-0.03160139130613171
Non Oil Producer,"Alcoholic beverages, tobacco and narcotics",8,0.0024800707622272987,-0.006365646578594981,0.011325788103049579,0.004513204023439293,0.5826524606112127,-0.014827608350027152,12,-0.009338635435056097,oil_group_category,Non Oil Producer,300,0.013250843098482679,-0.03160139130613171
Non Oil Producer,"Alcoholic beverages, tobacco and narcotics",9,0.0032729797691689808,-0.0069613492547968454,0.013507308793134807,0.005221692390621924,0.5307874585520718,-0.014827608350027152,12,-0.009338635435056097,oil_group_category,Non Oil Producer,300,0.013250843098482679,-0.03160139130613171
Non Oil Producer,"Alcoholic beverages, tobacco and narcotics",10,0.0004655457434844211,-0.011990788829178676,0.012921880316147518,0.006355389522928521,0.941605493554107,-0.014827608350027152,12,-0.009338635435056097,oil_group_category,Non Oil Producer,300,0.013250843098482679,-0.03160139130613171
Non Oil Producer,"Alcoholic beverages, tobacco and narcotics",11,0.0020169133144780005,-0.008902048147815606,0.012935874776771609,0.005571001073703896,0.7173237375258686,-0.014827608350027152,12,-0.009338635435056097,oil_group_category,Non Oil Producer,300,0.013250843098482679,-0.03160139130613171
Non Oil Producer,"Alcoholic beverages, tobacco and narcotics",12,-0.009338635435056097,-0.020096524905252055,0.0014192540351398615,0.005488819975802014,0.08886936701189334,-0.014827608350027152,12,-0.009338635435056097,oil_group_category,Non Oil Producer,300,0.013250843098482679,-0.03160139130613171
Non Oil Producer,All Items,1,0.0037899033689729376,-0.003357584867838706,0.010937391605784582,0.0036467446816319683,0.298685427379356,0.023271078847364613,3,0.005226607896046466,oil_group_category,Non Oil Producer,300,0.026977379840740556,-0.017250921075589343
