country,category,lag,beta,ci_low,ci_high,standard_error,p_value,cumulative_pass_through,peak_lag,peak_coefficient,model_type,group_name,n_obs,r_squared,adj_r_squared
Algeria,All Items,1,0.005286270278738877,-0.0034588388801921784,0.014031379437669932,0.004461872375161667,0.2361103697234449,0.01745447030299908,4,0.007674166056200474,country_all_items,,239,0.03833636083727865,-0.017226427203234085
Algeria,All Items,2,-0.005171856976696448,-0.014280533705658946,0.003936819752266049,0.004647369441893105,0.2657699092748709,0.01745447030299908,4,0.007674166056200474,country_all_items,,239,0.03833636083727865,-0.017226427203234085
Algeria,All Items,3,0.002906566994978841,-0.006465502087088452,0.012278636077046132,0.0047817557648982215,0.5432901885881912,0.01745447030299908,4,0.007674166056200474,country_all_items,,239,0.03833636083727865,-0.017226427203234085
Algeria,All Items,4,0.007674166056200474,-0.0017695685821167784,0.017117900694517726,0.004818320496094942,0.11122624978211547,0.01745447030299908,4,0.007674166056200474,country_all_items,,239,0.03833636083727865,-0.017226427203234085
Algeria,All Items,5,0.0063734823249549455,-0.003965655143997645,0.016712619793907535,0.005275167069653518,0.22696848494277222,0.01745447030299908,4,0.007674166056200474,country_all_items,,239,0.03833636083727865,-0.017226427203234085
Algeria,All Items,6,-0.004190192648034498,-0.01395628040821952,0.005575895112150524,0.0049827893967535515,0.40038540114277155,0.01745447030299908,4,0.007674166056200474,country_all_items,,239,0.03833636083727865,-0.017226427203234085
Algeria,All Items,7,-0.003239316376679117,-0.013616025066354467,0.0071373923129962324,0.0052943364120593564,0.5406399243172545,0.01745447030299908,4,0.007674166056200474,country_all_items,,239,0.03833636083727865,-0.017226427203234085
Algeria,All Items,8,0.004764235903578405,-0.005025864612246519,0.014554336419403329,0.004995041027818873,0.34018835875693176,0.01745447030299908,4,0.007674166056200474,country_all_items,,239,0.03833636083727865,-0.017226427203234085
Algeria,All Items,9,-0.0008938397840809952,-0.009917701832091494,0.008130022263929504,0.004604095850326624,0.8460661572339347,0.01745447030299908,4,0.007674166056200474,country_all_items,,239,0.03833636083727865,-0.017226427203234085
Algeria,All Items,10,0.0009792492819088415,-0.010601223592147348,0.012559722155965031,0.005908513097894391,0.8683652526991088,0.01745447030299908,4,0.007674166056200474,country_all_items,,239,0.03833636083727865,-0.017226427203234085
Algeria,All Items,11,0.005342426462704673,-0.0038853097133297087,0.014570162638739056,0.004708115173963189,0.2564896268898741,0.01745447030299908,4,0.007674166056200474,country_all_items,,239,0.03833636083727865,-0.017226427203234085
Algeria,All Items,12,-0.0023767212145749195,-0.011609123265154477,0.006855680836004639,0.00471049576594446,0.6138688840966828,0.01745447030299908,4,0.007674166056200474,country_all_items,,239,0.03833636083727865,-0.017226427203234085
Angola,All Items,1,-0.0019530589320906,-0.0069072584749982485,0.003001140610817049,0.002527699275081452,0.43972203034275126,0.001540637947365841,4,-0.004357179602124516,country_all_items,,277,0.7831390565662831,0.7724196943433237
Angola,All Items,2,0.0008850298719926922,-0.0035499529371247505,0.005320012681110135,0.0022627879104412233,0.6957058383829361,0.001540637947365841,4,-0.004357179602124516,country_all_items,,277,0.7831390565662831,0.7724196943433237
Angola,All Items,3,0.0029743590157945404,-0.0018211259627192522,0.007769843994308333,0.002446720968517772,0.22411786264750655,0.001540637947365841,4,-0.004357179602124516,country_all_items,,277,0.7831390565662831,0.7724196943433237
Angola,All Items,4,-0.004357179602124516,-0.009625733133661543,0.0009113739294125105,0.0026880869103181,0.10503433675182285,0.001540637947365841,4,-0.004357179602124516,country_all_items,,277,0.7831390565662831,0.7724196943433237
Angola,All Items,5,0.0023228718486310892,-0.001850901235535571,0.00649664493279775,0.0021295151936917465,0.275361583599239,0.001540637947365841,4,-0.004357179602124516,country_all_items,,277,0.7831390565662831,0.7724196943433237
Angola,All Items,6,0.00030300585005304707,-0.004722770921776462,0.0053287826218825565,0.002564218940486762,0.905935401638781,0.001540637947365841,4,-0.004357179602124516,country_all_items,,277,0.7831390565662831,0.7724196943433237
Angola,All Items,7,0.00042713498320069774,-0.004474846724895534,0.00532911669129693,0.0025010570330691985,0.8643953525189707,0.001540637947365841,4,-0.004357179602124516,country_all_items,,277,0.7831390565662831,0.7724196943433237
Angola,All Items,8,-0.003754235468120802,-0.00902301830961376,0.0015145473733721572,0.0026882039073434236,0.16254621478774867,0.001540637947365841,4,-0.004357179602124516,country_all_items,,277,0.7831390565662831,0.7724196943433237
Angola,All Items,9,0.003350974155881676,-0.0018723739559271674,0.00857432226769052,0.002665022496846854,0.20861224227866082,0.001540637947365841,4,-0.004357179602124516,country_all_items,,277,0.7831390565662831,0.7724196943433237
Angola,All Items,10,0.0009608542310042037,-0.0034528752291324576,0.0053745836911408655,0.0022519441657865126,0.6696141360272116,0.001540637947365841,4,-0.004357179602124516,country_all_items,,277,0.7831390565662831,0.7724196943433237
